Kurs;Tag_Nr;Tag_Titel;Gruppe_Key;Gruppe_Label;Rolle;Level;Woche;Frage_Nr;Kategorie;Frage;Anzahl_Optionen;Richtige_Antworten;Schwierigkeit;Erklaerung;Quelle;Quelle_URL;Option_A;Option_B;Option_C;Option_D;Korrekte_Optionen
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;01;Rechtliche Grundlagen & Compliance;Welche Kernaufgaben gehören zur Rolle von KI-Beauftragten im Unternehmen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._01;;Entwicklung einer internen KI-Compliance-Strategie;Schnittstellenfunktion zwischen IT, Fachbereichen und Datenschutz;Operative Umsetzung aller Programmieraufgaben;Überwachung der rechtssicheren Einführung und Nutzung von KI-Systemen;A, B, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;02;Rechtliche Grundlagen & Compliance;Wodurch unterscheidet sich die Rolle von KI-Beauftragten zu klassischen IT-Sicherheitsbeauftragten?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._02;;Beide Rollen sind identisch;KI-Beauftragte fokussieren sich auf rechtliche & ethische Aspekte von KI;IT-Sicherheitsbeauftragte kümmern sich primär um Netzwerke und IT-Systeme;KI-Beauftragte übernehmen ausschließlich Budget- und Ressourcenplanung;B, C
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;03;Rechtliche Grundlagen & Compliance;Ein Unternehmen möchte die Rolle der KI-Beauftragten definieren. Welche Kompetenzen sind dafür besonders relevant?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._03;;Tiefgehende Programmierkenntnisse;Wissen über rechtliche Rahmenbedingungen;Kommunikations- und Schnittstellenkompetenz;Grundlagen in Datenethik und Risikomanagement;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;04;Rechtliche Grundlagen & Compliance;In welchem Szenario ist die Rolle von KI-Beauftragten besonders wichtig?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._04;;Kreative Brainstorming-Sitzungen mit der Geschäftsleitung ohne technische Umsetzung;Einführung eines KI-Systems mit personenbezogenen Daten;Bei der Entwicklung von klassischen Automatisierungsprozessen;Aufbau eines Governance-Frameworks für KI-Systeme im Unternehmen;B, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;05;Rechtliche Grundlagen & Compliance;Welche rechtlichen Vorgaben sind für den Einsatz von KI-Systemen in Europa besonders relevant?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._05;;EU AI Act;Allgemeines Gleichbehandlungsgesetz (AGG);Handelsgesetzbuch (HGB);Datenschutz-Grundverordnung (DSGVO);A, B, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;06;Rechtliche Grundlagen & Compliance;Welche Haftungsfragen können beim Einsatz von KI eine Rolle spielen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._06;;Persönliche Haftung von Entwickler:innen bei fehlerhafter Programmierung;Produkthaftung bei fehlerhaften KI-Ergebnissen;Haftung für fehlerhafte Entscheidungen durch automatisierte Systeme;Urheberrechtliche Fragen bei generierten Inhalten;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;07;Rechtliche Grundlagen & Compliance;In welchem Bereich greift die DSGVO unmittelbar beim Einsatz von KI-Systemen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._07;;Informationspflichten gegenüber betroffenen Personen;Bei der ausschließlichen Verarbeitung von vollständig und unwiderruflich anonymisierten Maschinendaten zur vorausschauenden Wartung (Predictive Maintenance);Erstellung anonymer synthetischer Testdaten;Recht auf Auskunft und Löschung von personenbezogenen Daten;A, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;08;Rechtliche Grundlagen & Compliance;Welche urheberrechtlichen Fragen stellen sich bei generativen KI-Systemen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._08;;KI-generierte Inhalte sind automatisch gemeinfrei;Die Verwendung urheberrechtlich geschützter Trainingsdaten kann problematisch sein;Schutzrechte an KI-generierten Werken sind derzeit rechtlich umstritten;Urheberrechte sind ausschließlich auf menschliche Schöpfung zugeschnitten;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;09;Rechtliche Grundlagen & Compliance;Welche Elemente gehören typischerweise zu einer KI-Compliance-Strategie?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._09;;Regelmäßige Audits zur Überprüfung von Bias und Fairness;Klare Richtlinien für den Umgang mit Trainings- und Nutzungsdaten;Ein allgemeiner Haftungsausschluss für alle Mitarbeitenden für den Schadensfall;Vollständiger Verzicht auf Dokumentation, um Prozesse zu beschleunigen;A, B
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;10;Rechtliche Grundlagen & Compliance;Welche Governance-Maßnahmen sichern die Verantwortlichkeit im Umgang mit KI-Systemen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._10;;Festlegung klarer Rollen und Verantwortlichkeiten;Abgabe aller Entscheidungen ausschließlich an externe Dienstleistende und SaaS-Anbieter:innen;Etablierung von Eskalations- und Kontrollmechanismen;Vollständige Automatisierung ohne menschliche Aufsicht;A, C
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;11;Rechtliche Grundlagen & Compliance;Ein Unternehmen möchte die Dokumentationspflichten im Sinne des AI Act erfüllen. Welche Maßnahmen sind erforderlich?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._11;;Klare Aufzeichnungen zu Risikobewertungen und Tests;Abgabe der Verantwortung an Nutzer:innen, ohne interne Nachweise;Nachvollziehbare Dokumentation von Trainingsdaten und Zwecken;Jeder Chat und jede Anmeldung bei einem KI-Tool wird gespeichert und ausgewertet;A, C
KI-Beauftragter (TÜV-Fragenpool);;Rechtliche Grundlagen & Compliance;tuev;TÜV-Fragenpool;;;;12;Rechtliche Grundlagen & Compliance;Welche Transparenzpflichten ergeben sich für Unternehmen beim Einsatz von KI-Systemen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Rechtliche Grundl._Compl._12;;Information der Nutzer:innen über Einsatz und Funktionsweise der Systeme;Alleinige Kommunikation gegenüber internen Abteilungen, nicht extern;Offenlegung der Grenzen und Risiken des Systems;Keine, da die Geheimhaltung einer KI-Strategie dafür gedacht ist, die Wettbewerbsvorteile zu sichern;A, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;01;Risikomanagement & Datenschutz;Welche Risikoarten sind in der KI-gestützten Kreditvergabe besonders relevant?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._01;;Ethische Risiken durch intransparente Entscheidungen;Bias-Risiken (Benachteiligung bestimmter Personengruppen);Risiko für technische Fehler in Datenverarbeitung/Modellbetrieb;Erhöhte Stromkosten durch Serverbetrieb und somit die Kostensteigerung;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;02;Risikomanagement & Datenschutz;Welche Dimensionen gehören typischerweise in eine Risikobewertung für KI?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._02;;Eintrittswahrscheinlichkeit;Meinungen einzelner Entwickler:innen;Schadenshöhe/Tragweite;Projektbudget als Ersatz für Risikoabschätzung;A, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;03;Risikomanagement & Datenschutz;Wo stößt eine klassische Risikomatrix bei KI-Systemen an Grenzen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._03;;Eine Risikomatrix berücksichtigt grundsätzlich alle betriebswirtschaftlichen Faktoren;Selbstlernende Modelle verändern Risiken im Zeitverlauf;Dynamische Weiterentwicklung erschwert statische Bewertungen;Nicht-monetäre Effekte (Ethik, Reputation) sind schwer zu quantifizieren;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;04;Risikomanagement & Datenschutz;Welche Punkte sind Fehler in der Risikobewertung von KI-Systemen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._04;;Vernachlässigung regulatorischer Anforderungen;Einbezug mehrerer Stakeholder:innen in Workshops;Fehlende Definition von Kontrollen und kontinuierlichem Monitoring;Nutzung klarer, verbindlicher Bewertungsmaßstäbe;A, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;05;Risikomanagement & Datenschutz;Welche Anforderungen der DSGVO sind für KI-Systeme besonders relevant?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._05;;Datenminimierung – nur notwendige personenbezogene Daten verarbeiten;Recht auf Auskunft und Löschung von personenbezogenen Daten;Transparenzpflicht – Betroffene über Zweck und Nutzung informieren;Unbegrenzte Speicherung sämtlicher Daten um das KI-Tool zu trainieren;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;06;Risikomanagement & Datenschutz;Ein Unternehmen betreibt ein KI-System in der Cloud. Welche Maßnahmen zählen zu technischen und organisatorischen Maßnahmen (TOMs) für Datensicherheit?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._06;;Rollenbasierte Zugriffskontrollen;Verzicht auf regelmäßige Backups, um Speicherplatz zu sparen;Einsatz von Firewalls und Monitoring-Systemen;Verschlüsselung gespeicherter und übertragener Daten;A, D
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;07;Risikomanagement & Datenschutz;In einem KI-Projekt kommt es zu einer Datenpanne. Welche Schritte sind rechtlich notwendig?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._07;;Nur die relevanten Stakeholder:innen einbeziehen, da sonst die Akzeptanz in der Belegschaft sinkt und das KI-Projekt scheitert;Benachrichtigung der betroffenen Personen, wenn ein hohes Risiko besteht;Meldung an die Aufsichtsbehörde innerhalb von 72 Stunden;Vollständige Offenlegung aller Unternehmensdatenbanken;B, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;08;Risikomanagement & Datenschutz;Welche Maßnahmen fördern ethischen Datenschutz in KI-Systemen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._08;;Klare Regeln für die Nutzung sensibler Daten;Einbezug ethischer Leitlinien in die Datenverarbeitung;Das regelmäßige Aufzeigen von Negativbeispielen in Bezug auf Datenschutz;Regelmäßige Überprüfung der Systeme auf Datenmissbrauch;A, B, D
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;09;Risikomanagement & Datenschutz;Ein Unternehmen bewertet KI-Risiken mit einer Risikomatrix. Welche Vorgehensweisen sind dabei sinnvoll?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._09;;Vollständige Delegation an externe Anbieter:innen ohne interne Bewertung. Externe Anbieter:innen machen die Bewertung selbst.;Regelmäßige Aktualisierung der Matrix bei Systemänderungen;Einordnung von Risiken nach Eintrittswahrscheinlichkeit und Auswirkung;Schwer quantifizierbare Risiken können vernachlässigt werden.;B, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;10;Risikomanagement & Datenschutz;Welche Maßnahmen gehören in einen konkreten Handlungsplan, wenn KI-Risiken identifiziert wurden?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._10;;Festlegung von Verantwortlichkeiten für jede Maßnahme;Definition von Eskalationswegen bei Eintritt kritischer Risiken;Dokumentation geplanter und umgesetzter Schritte;Verzicht auf Maßnahmen, wenn Risiken nur potenziell bestehen;A, C
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;11;Risikomanagement & Datenschutz;Welche Transparenzmaßnahmen stärken Vertrauen in KI-Anwendungen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._11;;Bewusste Geheimhaltung von Fehlern, um kritische Fragen zu vermeiden;Klare Kommunikation gegenüber Anwender:innen über Grenzen des Systems;Periodische Berichte über Monitoring- und Kontrollprozesse;Nachvollziehbare Dokumentation der Entscheidungslogik;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Risikomanagement & Datenschutz;tuev;TÜV-Fragenpool;;;;12;Risikomanagement & Datenschutz;Ein Unternehmen möchte die Transparenz bei der Nutzung von KI-Chatbots erhöhen. Welche Schritte sind geeignet?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Risikomanagement_Datensch._12;;Den ChatBots klar erkennbare KI-Namen geben um Transparenz zu wahren;Schulung von Angestellten, um Fragen zur Funktionsweise beantworten zu können;Deutliche Kennzeichnung, dass es sich um eine KI handelt;Bereitstellung von Informationen zu Datenquellen und Trainingsmethoden;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;01;Projektmanagement & Qualitätssicherung;Welche Vorgehensweisen sichern eine effektive Einbindung von Stakeholder:innen in KI-Projekten?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_01;;Frühzeitige Identifikation von Interessen und Erwartungen;Einrichtung eines transparenten Kommunikations- und Feedback-Prozesses;Stakeholder:innen sollen erst dann eingebunden werden, wenn die ersten positiven Ergebnisse mit KI erzielt wurden;Regelmäßige Reviews und Demos;A, B, D
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;02;Projektmanagement & Qualitätssicherung;Wodurch unterscheiden sich KI-Projekte von klassischen IT-Projekten?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_02;;Modelle müssen kontinuierlich überwacht und nachtrainiert werden;Hoher Datenfokus und Abhängigkeit von Datenqualität;Ergebnisse sind oft probabilistisch statt deterministisch;KI-Projekte können vollständig ohne Pilotphasen umgesetzt werden;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;03;Projektmanagement & Qualitätssicherung;Welche Fehler treten typischerweise bei der Planung von KI-Projekten auf?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_03;;Fehlende Risikobetrachtung bei rechtlichen Rahmenbedingungen;Die Annahme, dass Datenqualität keine Rolle spielt;Bewusste Integration von Iterationen und Feedbackschleifen in den Ablauf;Keine klare Definition von Zielen und Erfolgskriterien;A, B, D
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;04;Projektmanagement & Qualitätssicherung;Welche Kriterien sichern einen strukturierten Abnahmeprozess für KI-Projekte?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_04;;Verzicht auf Nutzertests, da Entwickler:innen die UX am besten kennen;Integration der Ergebnisse in das Projektcontrolling;Klare Definition von Abnahmekriterien;Nachvollziehbare Dokumentation der Testergebnisse;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;05;Projektmanagement & Qualitätssicherung;In einem Pilotprojekt zeigt das KI-System abweichende Ergebnisse. Welche Schritte gehören in den QS-Prozess?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_05;;Ursachenanalyse und Nachtraining mit verbesserten Daten;Feedbackschleifen mit Fachabteilungen zur Validierung der Ergebnisse;Vergleich der Ergebnisse mit dem Wettbewerb;Sofortiger Abbruch des Projekts ohne Problemlösungsanalyse, da dies Zeit und Geld spart;A, B
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;06;Projektmanagement & Qualitätssicherung;Welche Fehler gefährden die Qualitätssicherung in KI-Projekten am stärksten?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_06;;Fehlende Einbindung von Endanwender:innen in die Testphase;Strukturierte Durchführung von Lasttests;Ausführliche Testabdeckung mit realistischen Szenarien;Einsatz synthetischer Daten ohne Realitätsbezug;A, D
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;07;Projektmanagement & Qualitätssicherung;Was für Schritte gehören in eine systematische Stakeholder-Analyse für ein KI-Projekt?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_07;;Identifikation irrelevanter Stakeholder:innen und ihrer Kommunikationswege;Stakeholderanalyse während des KI-Projekts erarbeiten um bereits Ergebnisse zu präsentieren;Priorisierung nach Einfluss und Betroffenheit;Dokumentation von Erwartungen und möglichen Konflikten;C, D
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;08;Projektmanagement & Qualitätssicherung;Welche Kommunikationsansätze unterstützen die Akzeptanz von KI-Projekten?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_08;;Frühe, transparente Kommunikation über Ziele und Risiken;Regelmäßige Updates in verständlicher Sprache;Ausschließliche Kommunikation in Fachjargon um Professionalität auszudrücken;Klare Roadmap mit genauen Angaben zu Sanktionen und Strafen. So wird Sicherheit und Klarheit geschaffen.;A, B
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;09;Projektmanagement & Qualitätssicherung;Was für Maßnahmen gehören zu einem effektiven Schulungskonzept für KI-Projekte?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_09;;Kontinuierliche Weiterbildungsangebote nach Projektabschluss;Praxisnahe Trainings mit realen Anwendungsfällen;Zielgruppenspezifische Schulungsmodule (Fachbereich, Management etc.);Selbststudien ohne Live-Begleitung;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;Projektmanagement & Qualitätssicherung;tuev;TÜV-Fragenpool;;;;10;Projektmanagement & Qualitätssicherung;In einem Unternehmen äußern Angestellte Unsicherheiten zu KI. Welche Schulungs- und Kommunikationsmaßnahmen sind am wirksamsten?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · PM_Qualitätssicherung_10;;"Die Unsicherheiten als ""nicht wahr"" einordnen da diese unbegründet sind";Selbstlernkurse im Intranet, die jede:r Mitarbeiter:in absolvieren muss;Kombination aus Trainings, Q&A-Sessions und transparenten Infos;Einbindung von Multiplikatoren aus den Fachbereichen;C, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;01;Daten, Change-Management & Skalierung;Ein Unternehmen möchte ein KI-Modell für Prognosen einsetzen. Was sind typische Indikatoren für hohe Datenqualität?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_01;;Vollständigkeit und Konsistenz der Datensätze;Aktualität und Genauigkeit der Informationen;Zufällige Vermischung von Datenquellen;Große Datenmenge ohne Konzentration auf Relevanz;A, B
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;02;Daten, Change-Management & Skalierung;Inwiefern beeinflusst die Datenintegrität die Zuverlässigkeit von KI-Systemen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_02;;Integrität spielt nur bei analogen Prozessen eine Rolle;Fehlende Prüfsummen oder Logs gefährden Nachvollziehbarkeit;KI-Systeme funktionieren unabhängig von Datenintegrität;Manipulationssichere Speicherung erhöht Vertrauen in Ergebnisse;B, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;03;Daten, Change-Management & Skalierung;Welche Fehler treten häufig auf, wenn Unternehmen ein Daten-Governance-Framework einführen?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_03;;Einfache Prozesse für Monitoring und Qualitätssicherung;Unklare Verantwortlichkeiten im Datenmanagement;Reine Fokussierung auf IT-Aspekte, ohne Fachbereiche einzubinden;Fehlende Standards für Datenklassifikation;B, C, D
